,id,species,island,sex,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
0,1569,Adelie,Torgersen,Male,41.1,18.6,189.0,3325.0
1,1295,Chinstrap,Dream,Female,46.7,17.9,195.0,3300.0
2,1445,Gentoo,Biscoe,Female,45.8,14.2,219.0,4700.0
3,1962,Adelie,Dream,Male,40.3,18.5,196.0,4350.0
4,1452,Gentoo,Biscoe,,44.5,14.3,216.0,4100.0
5,1622,Chinstrap,Dream,Female,45.9,17.1,190.0,3575.0
6,1354,Gentoo,Biscoe,Male,45.2,16.4,223.0,5950.0
7,1060,Adelie,Dream,Male,37.8,18.1,193.0,3750.0
8,1397,Gentoo,Biscoe,Female,47.7,15.0,216.0,4750.0
9,1910,Adelie,Torgersen,Male,39.2,19.6,195.0,4675.0
10,1747,Gentoo,Biscoe,Female,44.9,13.3,213.0,5100.0
11,1606,Gentoo,Biscoe,Male,46.1,15.1,215.0,5100.0
12,1478,Gentoo,Biscoe,Female,49.1,14.5,212.0,4625.0
13,1807,Gentoo,Biscoe,Male,49.2,15.2,221.0,6300.0
14,1207,Adelie,Dream,Male,39.6,18.8,190.0,4600.0
15,1643,Chinstrap,Dream,Female,45.2,17.8,198.0,3950.0
16,1105,Adelie,Dream,Male,40.6,17.2,187.0,3475.0
17,1470,Adelie,Biscoe,Male,42.0,19.5,200.0,4050.0
18,1306,Chinstrap,Dream,Female,46.4,18.6,190.0,3450.0
19,1789,Gentoo,Biscoe,Male,52.1,17.0,230.0,5550.0
20,1807,Gentoo,Biscoe,Male,49.2,15.2,221.0,6300.0
21,1250,Chinstrap,Dream,Male,49.6,18.2,193.0,3775.0
22,1960,Chinstrap,Dream,Male,49.5,19.0,200.0,3800.0
23,1084,Gentoo,Biscoe,Female,46.4,15.0,216.0,4700.0
24,1349,Adelie,Dream,Female,40.2,17.1,193.0,3400.0
25,1868,Gentoo,Biscoe,Female,44.5,14.7,214.0,4850.0
26,1438,Chinstrap,Dream,Female,46.6,17.8,193.0,3800.0
27,1256,Chinstrap,Dream,Male,51.3,18.2,197.0,3750.0
28,1937,Chinstrap,Dream,Female,40.9,16.6,187.0,3200.0
29,1990,Gentoo,Biscoe,Female,47.5,14.0,212.0,4875.0
30,1573,Gentoo,Biscoe,Female,50.5,15.2,216.0,5000.0
31,1355,Gentoo,Biscoe,Male,50.0,16.3,230.0,5700.0
32,1027,Gentoo,Biscoe,Female,46.1,13.2,211.0,4500.0
33,1502,Gentoo,Biscoe,Male,49.6,15.0,216.0,4750.0
34,1614,Chinstrap,Dream,Female,50.5,18.4,200.0,3400.0
35,1587,Gentoo,Biscoe,,47.3,13.8,216.0,4725.0
36,1589,Adelie,Biscoe,Male,41.3,21.1,195.0,4400.0
37,1182,Gentoo,Biscoe,Male,50.0,15.9,224.0,5350.0
38,1391,Adelie,Torgersen,Female,36.7,19.3,193.0,3450.0
39,1179,Chinstrap,Dream,Female,45.7,17.3,193.0,3600.0
40,1480,Adelie,Dream,Male,40.9,18.9,184.0,3900.0
41,1040,Gentoo,Biscoe,Male,46.7,15.3,219.0,5200.0
42,1651,Gentoo,Biscoe,Female,46.2,14.5,209.0,4800.0
43,1694,Chinstrap,Dream,Female,46.0,18.9,195.0,4150.0
44,1855,Gentoo,Biscoe,Male,4.84,1.6300000000000001,22.0,5400.0
45,1333,Adelie,Dream,Female,37.3,16.8,192.0,3000.0
46,1115,Gentoo,Biscoe,Male,52.2,17.1,228.0,5400.0
47,1138,Adelie,Dream,Male,44.1,19.7,196.0,4400.0
48,1032,Adelie,Biscoe,Male,41.1,19.1,188.0,4100.0
49,1639,Adelie,Biscoe,Male,38.2,18.1,185.0,3950.0
50,1063,Adelie,Torgersen,Male,46.0,21.5,194.0,4200.0
51,1643,Chinstrap,Dream,Female,45.2,17.8,198.0,3950.0
52,1815,Chinstrap,Dream,Male,48.5,17.5,191.0,3400.0
53,1208,Adelie,Biscoe,Male,38.8,17.2,180.0,3800.0
54,1816,Gentoo,Biscoe,Male,51.3,14.2,218.0,5300.0
55,1841,Gentoo,Biscoe,Female,44.9,13.8,212.0,4750.0
56,1673,Chinstrap,Dream,Female,43.5,18.1,202.0,3400.0
57,1301,Adelie,Torgersen,Female,38.7,19.0,195.0,3450.0
58,1551,Adelie,Dream,Male,41.5,18.5,201.0,4000.0
59,1910,Adelie,Torgersen,Male,39.2,19.6,195.0,4675.0
60,1586,Adelie,Dream,Female,32.1,15.5,188.0,3050.0
61,1771,Gentoo,Biscoe,Female,42.9,13.1,215.0,5000.0
62,1449,Adelie,Biscoe,Female,37.9,18.6,193.0,2925.0
63,1936,Adelie,Dream,Female,36.8,18.5,193.0,3500.0
64,1414,Gentoo,Biscoe,Male,46.3,15.8,215.0,5050.0
65,1877,Chinstrap,Dream,Male,50.8,19.0,210.0,4100.0
66,1912,Gentoo,Biscoe,Male,50.7,15.0,223.0,5550.0
67,1236,Adelie,Biscoe,Female,38.6,17.2,199.0,3750.0
68,1606,Gentoo,Biscoe,Male,46.1,15.1,215.0,5100.0
69,1160,Adelie,Dream,Male,36.3,19.5,190.0,3800.0
70,1127,Gentoo,Biscoe,Male,45.0,15.4,220.0,5050.0
71,1884,Chinstrap,Dream,Female,46.2,17.5,187.0,3650.0
72,1137,Gentoo,Biscoe,Female,45.3,13.7,210.0,4300.0
73,1429,Chinstrap,Dream,Female,50.9,17.9,196.0,3675.0
74,1397,Gentoo,Biscoe,Female,47.7,15.0,216.0,4750.0
75,1895,Gentoo,Biscoe,Male,50.4,15.3,224.0,5550.0
76,1279,Gentoo,Biscoe,Female,45.3,13.8,208.0,4200.0
77,1830,Gentoo,Biscoe,Male,46.8,15.4,215.0,5150.0
78,1813,Adelie,Torgersen,Female,38.6,17.0,188.0,2900.0
79,1140,Adelie,Torgersen,Female,41.1,17.6,182.0,3200.0
80,1871,Adelie,Dream,Female,33.1,16.1,178.0,2900.0
81,1921,Gentoo,Biscoe,Male,52.5,15.6,221.0,5450.0
82,1918,Chinstrap,Dream,Female,50.2,18.7,198.0,3775.0
83,1269,Gentoo,Biscoe,Female,42.7,13.7,208.0,3950.0
84,1380,Adelie,Torgersen,Male,42.5,20.7,197.0,4500.0
85,1349,Adelie,Dream,Female,40.2,17.1,193.0,3400.0
86,1714,Gentoo,Biscoe,,44.5,15.7,217.0,4875.0
87,1686,Gentoo,Biscoe,Female,47.2,15.5,215.0,4975.0
88,1006,Adelie,Biscoe,Male,39.7,18.9,184.0,3550.0
89,1801,Adelie,Biscoe,Female,39.6,17.7,186.0,3500.0
90,1543,Adelie,Dream,Male,39.6,18.1,186.0,4450.0
91,1969,Gentoo,Biscoe,Male,45.5,15.0,220.0,5000.0
92,1670,Gentoo,Biscoe,Male,49.9,16.1,213.0,5400.0
93,1425,Adelie,Biscoe,Female,35.3,18.9,187.0,3800.0
94,1252,Adelie,Torgersen,Female,35.9,16.6,190.0,3050.0
95,1648,Gentoo,Biscoe,Male,49.8,16.8,230.0,5700.0
96,1549,Gentoo,Biscoe,Male,59.6,17.0,230.0,6050.0
