species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,id
Gentoo,Biscoe,45.1,14.4,210.0,4400.0,Female,1377
Gentoo,Biscoe,46.4,15.6,221.0,5000.0,Male,1379
Gentoo,Biscoe,46.5,13.5,210.0,4550.0,Female,1199
Chinstrap,Dream,52.8,20.0,205.0,4550.0,Male,1167
Gentoo,Biscoe,45.5,13.7,214.0,4650.0,Female,1529
Adelie,Dream,40.9,18.9,184.0,3900.0,Male,1796
Gentoo,Biscoe,48.7,14.1,210.0,4450.0,Female,1534
Gentoo,Biscoe,45.1,14.5,207.0,5050.0,Female,1099
Adelie,Torgersen,36.7,19.3,193.0,3450.0,Female,1123
Adelie,Biscoe,41.4,18.6,191.0,3700.0,Male,1952
Chinstrap,Dream,48.5,17.5,191.0,3400.0,Male,1307
Adelie,Biscoe,42.7,18.3,196.0,4075.0,Male,1876
Chinstrap,Dream,50.0,19.5,196.0,3900.0,Male,1631
Adelie,Dream,36.3,19.5,190.0,3800.0,Male,1296
Gentoo,Biscoe,4.82,14.3,210.0,4600.0,Female,1605
Chinstrap,Dream,50.2,18.7,198.0,3775.0,Female,1733
Adelie,Dream,44.1,19.7,196.0,4400.0,Male,1651
Adelie,Torgersen,35.1,19.4,193.0,4200.0,Male,1244
Gentoo,Biscoe,55.9,17.0,228.0,5600.0,Male,1780
Adelie,Biscoe,42.7,18.3,196.0,4075.0,Male,1876
Gentoo,Biscoe,47.5,14.2,209.0,4600.0,Female,1778
Chinstrap,Dream,46.6,17.8,193.0,3800.0,Female,1992
Adelie,Torgersen,40.6,19.0,199.0,4000.0,Male,1577
Chinstrap,Dream,42.5,17.3,187.0,3350.0,Female,1033
Chinstrap,Dream,50.6,19.4,193.0,3800.0,Male,1007
Gentoo,Biscoe,46.4,15.0,216.0,4700.0,Female,1730
Adelie,Biscoe,36.5,16.6,181.0,2850.0,Female,1498
Chinstrap,Dream,45.5,17.0,196.0,3500.0,Female,1998
Chinstrap,Dream,43.2,16.6,187.0,2900.0,Female,1942
Gentoo,Biscoe,50.4,15.7,222.0,5750.0,Male,1182
Chinstrap,Dream,50.9,19.1,196.0,3550.0,Male,1107
Adelie,Dream,40.7,17.0,190.0,3725.0,Male,1972
Chinstrap,Dream,47.0,17.3,185.0,3700.0,Female,1502
Adelie,Torgersen,38.9,17.8,181.0,3625.0,Female,1798
Gentoo,Biscoe,46.2,14.9,221.0,5300.0,Male,1600
Gentoo,Biscoe,43.2,14.5,208.0,4450.0,Female,1445
Adelie,Biscoe,37.9,18.6,193.0,2925.0,Female,1035
Adelie,Torgersen,34.4,18.4,184.0,3325.0,Female,1755
Gentoo,Biscoe,50.5,15.9,225.0,5400.0,Male,1068
Adelie,Biscoe,37.7,18.7,180.0,3600.0,Male,1032
Chinstrap,Dream,45.7,17.3,193.0,3600.0,Female,1015
Adelie,Torgersen,36.2,17.2,187.0,3150.0,Female,1317
Gentoo,Biscoe,45.5,14.5,212.0,4750.0,Female,1135
Chinstrap,Dream,47.0,17.3,185.0,3700.0,Female,1502
Gentoo,Biscoe,43.4,14.4,218.0,4600.0,Female,1137
Gentoo,Biscoe,45.5,13.7,214.0,4650.0,Female,1529
Gentoo,Biscoe,46.1,13.2,211.0,4500.0,Female,1178
Adelie,Dream,36.0,17.8,195.0,3450.0,Female,1588
Adelie,Biscoe,41.0,20.0,203.0,4725.0,Male,1894
Chinstrap,Dream,49.0,19.6,212.0,4300.0,Male,1522
Adelie,Torgersen,41.1,18.6,189.0,3325.0,Male,1531
Adelie,Dream,37.2,18.1,178.0,3900.0,Male,1499
Gentoo,Biscoe,47.7,15.0,216.0,4750.0,Female,1011
Chinstrap,Dream,47.5,16.8,199.0,3900.0,Female,1245
Adelie,Biscoe,41.3,21.1,195.0,4400.0,Male,1761
Adelie,Biscoe,39.6,20.7,191.0,3900.0,Female,1570
Adelie,Biscoe,41.1,19.1,188.0,4100.0,Male,1305
Adelie,Biscoe,41.0,20.0,203.0,4725.0,Male,1894
Chinstrap,Dream,51.3,18.2,197.0,3750.0,Male,1261
Gentoo,Biscoe,42.8,14.2,209.0,4700.0,Female,1767
Adelie,Torgersen,35.5,17.5,190.0,3700.0,Female,1069
Gentoo,Biscoe,50.2,14.3,218.0,5700.0,Male,1361
Adelie,Torgersen,38.9,17.8,181.0,3625.0,Female,1798
Gentoo,Biscoe,48.4,14.4,203.0,4625.0,Female,1463
Gentoo,Biscoe,47.5,15.0,218.0,4950.0,Female,1314
Gentoo,Biscoe,49.1,14.8,220.0,5150.0,Female,1435
Gentoo,Biscoe,52.1,17.0,230.0,5550.0,Male,1863
Adelie,Dream,39.6,18.8,190.0,4600.0,Male,1431
Adelie,Dream,40.8,18.9,208.0,4300.0,Male,1907
Adelie,Biscoe,38.6,17.2,199.0,3750.0,Female,1089
Gentoo,Biscoe,51.3,14.2,218.0,5300.0,Male,1988
Chinstrap,Dream,49.0,19.6,212.0,4300.0,Male,1522
Chinstrap,Dream,43.5,18.1,202.0,3400.0,Female,1503
Adelie,Dream,38.8,20.0,190.0,3950.0,Male,1642
Gentoo,Biscoe,50.7,15.0,223.0,5550.0,Male,1723
Adelie,Torgersen,40.2,17.0,176.0,3450.0,Female,1238
Adelie,Dream,36.8,18.5,193.0,3500.0,Female,1882
Adelie,Torgersen,38.6,17.0,188.0,2900.0,Female,1309
Gentoo,Biscoe,44.9,13.8,212.0,4750.0,Female,1183
Adelie,Dream,39.5,17.8,188.0,3300.0,Female,1672
Gentoo,Biscoe,50.0,15.2,218.0,5700.0,Male,1504
Adelie,Torgersen,39.0,17.1,191.0,3050.0,Female,1635
Adelie,Dream,35.7,18.0,202.0,3550.0,Female,1003
Gentoo,Biscoe,49.6,15.0,216.0,4750.0,Male,1323
Adelie,Dream,4.13,20.3,194.0,3550.0,Male,1347
Gentoo,Biscoe,43.5,14.2,220.0,4700.0,Female,1840
Gentoo,Biscoe,46.5,14.4,217.0,4900.0,Female,1801
Chinstrap,Dream,51.4,19.0,201.0,3950.0,Male,1594
Adelie,Biscoe,40.1,18.9,188.0,4300.0,Male,1509
Gentoo,Biscoe,44.9,13.3,213.0,5100.0,Female,1762
Chinstrap,Dream,45.6,19.4,194.0,3525.0,Female,1304
Gentoo,Biscoe,42.7,13.7,208.0,3950.0,Female,1932
Gentoo,Biscoe,47.2,15.5,215.0,4975.0,Female,1579
Gentoo,Biscoe,50.4,15.7,222.0,5750.0,Male,1182
Adelie,Biscoe,41.1,18.2,192.0,4050.0,Male,1760
Adelie,Torgersen,41.8,19.4,198.0,4450.0,Male,1508
Adelie,Dream,36.3,19.5,190.0,3800.0,Male,1296
Adelie,Dream,36.2,17.3,187.0,3300.0,Female,1653
Adelie,Dream,36.4,17.0,195.0,3325.0,Female,1956
Adelie,Biscoe,3.88,17.2,180.0,3800.0,Male,1682
Chinstrap,Dream,52.7,19.8,197.0,3725.0,Male,1921
Chinstrap,Dream,43.5,18.1,202.0,3400.0,Female,1503
Adelie,Biscoe,37.7,16.0,183.0,3075.0,Female,1111
Chinstrap,Dream,49.3,19.9,203.0,4050.0,Male,1593
Adelie,Dream,39.0,18.7,185.0,3650.0,Male,1912
Chinstrap,Dream,51.9,19.5,206.0,3950.0,Male,1097
Adelie,Torgersen,34.1,18.1,193.0,3475.0,,1835
Gentoo,Biscoe,47.3,13.8,216.0,4725.0,,1625
Chinstrap,Dream,51.4,19.0,201.0,3950.0,Male,1594
Adelie,Torgersen,38.6,21.2,191.0,3800.0,Male,1705
