,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,id
0,Gentoo,Biscoe,46.3,15.8,215.0,5050.0,Male,1414
1,Adelie,Biscoe,39.6,20.7,191.0,3900.0,Female,1693
2,Gentoo,Biscoe,46.5,14.5,213.0,4400.0,Female,1954
3,Adelie,Dream,39.7,17.9,193.0,4250.0,Male,1056
4,Adelie,Dream,36.3,19.5,190.0,3800.0,Male,1160
5,Adelie,Dream,36.8,18.5,193.0,3500.0,Female,1936
6,Chinstrap,Dream,45.4,18.7,188.0,3525.0,Female,1812
7,Chinstrap,Dream,51.3,18.2,197.0,3750.0,Male,1256
8,Chinstrap,Dream,46.4,18.6,190.0,3450.0,Female,1306
9,Gentoo,Biscoe,45.5,13.7,214.0,4650.0,Female,1461
10,Gentoo,Biscoe,47.2,15.5,215.0,4975.0,Female,1686
11,Chinstrap,Dream,50.6,19.4,193.0,3800.0,Male,1275
12,Adelie,Biscoe,38.8,17.2,180.0,3800.0,Male,1208
13,Gentoo,Biscoe,45.3,13.8,208.0,4200.0,Female,1279
14,Chinstrap,Dream,54.2,20.8,201.0,4300.0,Male,1043
15,Chinstrap,Dream,46.8,16.5,189.0,3650.0,Female,1500
16,Adelie,Torgersen,37.8,17.3,180.0,3700.0,,1768
17,Adelie,Dream,37.5,18.5,199.0,4475.0,Male,1504
18,Gentoo,Biscoe,48.5,15.0,219.0,4850.0,Female,1817
19,Adelie,Biscoe,42.2,19.5,197.0,4275.0,Male,1718
20,Gentoo,Biscoe,50.0,16.3,230.0,5700.0,Male,1355
21,Gentoo,Biscoe,45.4,14.6,211.0,4800.0,Female,1110
22,Chinstrap,Dream,45.7,17.3,193.0,3600.0,Female,1179
23,Chinstrap,Dream,46.1,18.2,178.0,3250.0,Female,1131
24,Gentoo,Biscoe,52.2,17.1,228.0,5400.0,Male,1115
25,Gentoo,Biscoe,45.1,14.4,210.0,4400.0,Female,1126
26,Gentoo,Biscoe,46.8,15.4,215.0,5150.0,Male,1830
27,Chinstrap,Dream,58.0,17.8,181.0,3700.0,Female,1239
28,Chinstrap,Dream,51.9,19.5,206.0,3950.0,Male,1741
29,Gentoo,Biscoe,45.2,15.8,215.0,5300.0,Male,1820
30,Adelie,Biscoe,39.0,17.5,186.0,3550.0,Female,1584
31,Adelie,Torgersen,42.9,17.6,196.0,4700.0,Male,1388
32,Gentoo,Biscoe,44.0,13.6,208.0,4350.0,Female,1395
33,Adelie,Biscoe,36.5,16.6,181.0,2850.0,Female,1322
34,Adelie,Torgersen,37.8,17.3,180.0,3700.0,,1768
